%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V],"% Didn't take it at 1.5mm, took it at 1mm"
82815.987,300.253,-344.725,163.488,-0.021,0.521,5,
82815.987,300.253,-344.567,163.328,-0.037,0.532,5,
82820.018,300.253,-344.567,163.328,-0.005,0.51,5,
82815.987,300.253,-344.883,162.848,-0.021,0.51,5,
82811.955,300.254,-344.567,163.168,-0.005,0.51,5,
82815.987,300.251,-344.646,163.168,-0.005,0.521,5,
82820.018,300.254,-344.646,163.008,-0.005,0.521,5,
82820.018,300.254,-344.804,163.008,-0.021,0.532,5,
82824.05,300.254,-344.804,163.008,-0.021,0.521,5,
82815.987,300.253,-344.725,163.008,-0.021,0.543,5,
82820.018,300.251,-344.725,163.168,-0.037,0.51,5,
82820.018,300.254,-344.804,163.488,-0.005,0.51,5,
82820.018,300.251,-344.804,163.488,-0.005,0.521,5,
82824.05,300.253,-344.804,163.328,-0.005,0.521,5,
82824.05,300.253,-344.883,163.648,-0.021,0.51,5,
82820.018,300.254,-344.883,163.648,-0.005,0.521,5,
82824.05,300.251,-344.804,163.648,-0.021,0.532,5,
82824.05,300.253,-344.804,163.808,-0.021,0.51,5,
82828.081,300.256,-344.883,164.128,-0.021,0.521,5,
82824.05,300.254,-344.883,164.288,-0.021,0.521,5,
82832.112,300.253,-344.962,164.128,-0.021,0.51,5,
82820.018,300.254,-344.883,164.288,-0.021,0.51,5,
82828.081,300.254,-344.883,164.448,-0.021,0.532,5,
82824.05,300.256,-345.12,164.448,-0.005,0.521,5,
82832.112,300.256,-344.883,164.609,-0.021,0.521,5,
82824.05,300.256,-344.962,164.769,-0.005,0.532,5,
82824.05,300.256,-345.041,164.609,-0.005,0.51,5,
82820.018,300.254,-344.962,164.769,-0.021,0.521,5,
82828.081,300.256,-345.041,164.929,-0.005,0.532,5,
82828.081,300.256,-345.199,165.249,-0.021,0.521,5,
82824.05,300.259,-345.199,165.249,-0.021,0.543,5,
82828.081,300.254,-345.199,165.089,0.012,0.521,5,
82828.081,300.259,-345.12,165.409,-0.037,0.532,5,
82820.018,300.257,-345.041,165.729,-0.005,0.51,5,
82824.05,300.254,-345.12,165.569,-0.021,0.5,5,
82832.112,300.256,-345.12,165.409,-0.005,0.51,5,
82824.05,300.253,-345.041,165.409,-0.005,0.532,5,
82824.05,300.256,-345.041,165.249,-0.005,0.532,5,
82820.018,300.254,-345.199,165.089,-0.021,0.51,5,
82815.987,300.257,-345.12,165.409,0.012,0.521,5,
82811.955,300.253,-345.041,165.409,-0.037,0.521,5,
82820.018,300.256,-345.12,165.089,-0.005,0.521,5,
82820.018,300.251,-344.962,165.249,0.012,0.521,5,
82815.987,300.256,-345.12,165.089,-0.005,0.51,5,
82820.018,300.253,-345.12,165.089,-0.005,0.532,5,
82820.018,300.251,-345.041,164.929,-0.005,0.521,5,
82811.955,300.253,-345.12,165.089,-0.005,0.532,5,
82824.05,300.251,-344.962,165.089,0.012,0.521,5,
82815.987,300.249,-344.883,164.929,-0.053,0.521,5,
82820.018,300.251,-344.962,164.769,-0.021,0.532,5,
82815.987,300.251,-345.041,164.929,-0.037,0.51,5,
82820.018,300.251,-344.962,164.929,-0.021,0.532,5,
82824.05,300.249,-344.962,164.929,-0.021,0.543,5,
82820.018,300.254,-344.883,164.929,-0.005,0.51,5,
82820.018,300.249,-345.041,165.089,-0.037,0.51,5,
82824.05,300.251,-344.883,164.929,-0.005,0.532,5,
82820.018,300.249,-344.883,164.929,-0.021,0.521,5,
82824.05,300.249,-345.041,165.089,-0.005,0.521,5,
82820.018,300.253,-345.12,164.769,-0.005,0.521,5,
82820.018,300.248,-345.041,165.249,-0.021,0.521,5,
82820.018,300.249,-345.12,165.249,-0.005,0.543,5,
82824.05,300.253,-345.041,165.089,-0.005,0.51,5,
82820.018,300.249,-345.12,165.249,-0.021,0.521,5,
82828.081,300.251,-345.199,165.569,-0.021,0.521,5,
82820.018,300.253,-345.041,165.409,-0.005,0.521,5,
82820.018,300.251,-345.12,165.249,-0.021,0.521,5,
82824.05,300.253,-345.199,165.409,-0.005,0.51,5,
